Datum;Typ;Region;Land;Empfaenger;Event;Status
2026-07-01;Akquise-Mail;gemischt;DE/AT/CH;18;Hofbraeu-Regiment;gesendet
2026-07-01;Bounce;Bayern;DE;1;Hofbraeu-Regiment;unzustellbar
2026-07-01;Akquise-Mail;gemischt;DE/AT/CH;17;VIPS-Partyband;gesendet
2026-07-02;Akquise-Mail;gemischt;DE/AT/CH;30;Hofbraeu-Regiment R2;gesendet
2026-07-03;Akquise-Mail;Groß-Runde;DE/AT/CH;49;Hofbraeu-Regiment R3;gesendet
2026-07-03;Akquise-Mail;Groß-Runde;DE/AT/CH;48;VIPS-Partyband R2;gesendet
2026-07-03;Bounce;Bayern;DE;1;Hofbraeu Blattlschoner;unzustellbar
2026-07-04;Akquise-Mail;Groß-Runde 2;DE/AT/CH;50;Hofbraeu-Regiment;gesendet
2026-07-04;Akquise-Mail;Groß-Runde 2;DE/AT/CH;47;VIPS-Partyband;gesendet
2026-07-08;Akquise-Mail;Top-Feste;DE/AT;28;Hofbraeu-Regiment;gesendet
2026-07-08;Akquise-Mail;Top-Feste;DE/AT;27;VIPS-Partyband;gesendet
2026-07-09;Akquise-Mail;Konkurrenz-Tannenbaum;DE/AT;25;Hofbraeu-Regiment;gesendet
2026-07-09;Akquise-Mail;Konkurrenz-Tannenbaum;DE/AT;25;VIPS-Partyband;gesendet
2026-07-10;Akquise-Mail;Konkurrenz-Tannenbaum 2;DE;24;Hofbraeu-Regiment;gesendet
2026-07-10;Akquise-Mail;Konkurrenz-Tannenbaum 2;DE;25;VIPS-Partyband;gesendet
2026-07-21;Akquise-Mail;Tannenbaum R3;DE;29;Hofbraeu-Regiment R3;gesendet
2026-07-21;Akquise-Mail;Tannenbaum R3;DE;30;VIPS-Partyband R3;gesendet
