Datum;Quelle;Firma;Ansprechpartner;Email;Telefon;PLZ;Ort;Land;Region;Event_Typ;Status;Notiz
2026-07-01;https://www.musikverein-oeffingen.de/impressum/;Musikverein Oeffingen e.V.;Martin Rothwein;1.Vorsitzender@musikverein-oeffingen.de;0711-65851493;70736;Fellbach;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-01;Musikfest jährlich Anf. Juli, eigener Festplatz (verifiziert)
2026-07-01;https://mvwurmlingen.de/Kontakt/;Musikverein Eintracht Wurmlingen e.V.;Rolf Butsch;info@mvwurmlingen.de;07461-9629622;78573;Wurmlingen;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-01;eigenes Aprilfest
2026-07-01;https://www.start-reutlingen.de/;StaRT Stadtmarketing und Tourismus Reutlingen GmbH;;info@start-reutlingen.de;07121-93935300;72764;Reutlingen;DE;Baden-Württemberg;Stadtfest-Kommune;kontaktiert 2026-07-01;städt. Stadtmarketing, Reutlinger Stadtfest
2026-07-01;https://www.badenbadenevents.de/impressum;Baden-Baden Events GmbH;;info@badenbadenevents.de;07221-27523275;76530;Baden-Baden;DE;Baden-Württemberg;Stadtfest-Kommune;kontaktiert 2026-07-01;städt. Eventgesellschaft, ganzjähriges Programm
2026-07-01;https://www.goeppinger-stadtfest.de/iggpstadfest.php;IG Göppinger Stadtfest e.V.;Paul Lambert;stadtfest@goeppingen.de;07161-9992222;73033;Göppingen;DE;Baden-Württemberg;Stadtfest-Kommune;kontaktiert 2026-07-01;Stadtfest Sept, Fest der Vereine (verifiziert)
2026-07-01;https://feuerwehr-sailauf.feuerwehren.bayern/impressum/;Freiwillige Feuerwehr Sailauf e.V.;;info@feuerwehr-sailauf.de;06093-8079;63877;Sailauf;DE;Bayern;Vereinsfest;kontaktiert 2026-07-01;Feuerwehrverein, Feuerwehrfeste
2026-07-01;https://goeggelsbuch.feuerwehren.bayern/impressum/;Feuerwehr Göggelsbuch e.V.;Günter Sossau;Info@feuerwehr-goeggelsbuch.de;09174-9719445;90584;Allersberg-Göggelsbuch;DE;Bayern;Vereinsfest;BOUNCE 2026-07-01;Feuerwehrverein, gemeinnützig | EMAIL UNZUSTELLBAR (Domain existiert nicht) - neue Adresse recherchieren
2026-07-01;https://ff-pettenreuth.feuerwehren.bayern/impressum/;Freiwillige Feuerwehr Pettenreuth e.V.;Christian Bräu;feuerwehr-pettenreuth@t-online.de;09463-1611;93170;Bernhardswald-Pettenreuth;DE;Bayern;Vereinsfest;kontaktiert 2026-07-01;Feuerwehrverein mit Vereinsleben
2026-07-01;https://www.blaskapelle-baar.de/impressum-und-datenschutz/;Blaskapelle Baar e.V.;Kunigunde Ruisinger;Vorstand@blaskapelle-baar.de;08276-1473;86674;Baar (Schwaben);DE;Bayern;Vereinsfest;kontaktiert 2026-07-01;Blasmusikverein (ASM), eigene Feste
2026-07-01;https://www.cham-volksfest.de/kontakt/;Volksfestverein Cham e.V.;;service@cham-volksfest.de;;93413;Cham;DE;Bayern;Zelt-Festbetreiber;kontaktiert 2026-07-01;Chamer Volksfest+Frühlingsfest, allg. Anfrage-Adresse (Ansprechpartner-Name korrigiert entfernt)
2026-07-01;https://mybamberg.de/impressum/;Stadtmarketing Bamberg e.V.;Klaus Stieringer;info@stadtmarketing-bamberg.de;0951-201030;96052;Bamberg;DE;Bayern;Stadtfest-Kommune;kontaktiert 2026-07-01;Bamberger Weinfest, FESTA ITALICA
2026-07-01;https://musikverein-weingarten-pfalz.de/impressum/;Musikverein St. Michael Weingarten e.V.;Stephan Weis;mvw.weingarten@gmail.com;;67360;Lingenfeld;DE;Rheinland-Pfalz/Hessen;Vereinsfest;kontaktiert 2026-07-01;Musikverein Pfalz, Sommerfest
2026-07-01;https://www.koblenz-touristik.de/geschaeftsfelder/event/informationen-fuer-veranstalter;Koblenz-Stadtmarketing GmbH;;info@koblenz-stadtmarketing.de;0261-20177593;56068;Koblenz;DE;Rheinland-Pfalz/Hessen;Stadtfest-Kommune;kontaktiert 2026-07-01;Veranstalter Schaengelmarkt
2026-07-01;https://www.bernemerkerb.de/kontakt/;Bernemer Kerwe Gesellschaft 1932 e.V.;;kontakt@bernemer-kerb.de;069-13024172;60314;Frankfurt am Main;DE;Rheinland-Pfalz/Hessen;Stadtfest-Kommune;kontaktiert 2026-07-01;Traditions-Kerweverein Frankfurt-Bornheim
2026-07-01;https://www.sva1926.de/;Schützenverein Altenstadt 1926 e.V.;;info@sva1926.de;06047-9829392;63674;Altenstadt;DE;Rheinland-Pfalz/Hessen;Vereinsfest;kontaktiert 2026-07-01;Schützenverein Hessen, Schützenfest
2026-07-01;https://tv-eschborn.de/impressum/;Turnverein Eschborn 1888 e.V.;Roland Gließmann;info@tv-eschborn.de;06196-955415;65760;Eschborn;DE;Rheinland-Pfalz/Hessen;Vereinsfest;kontaktiert 2026-07-01;Großer Sportverein Hessen (Summertime-Sommerprogramm)
2026-07-01;https://zeltfest-arnreit.at/;Wald- und Zeltfest Arnreit (FF Arnreit);;info@zeltfest-arnreit.at;+43-664-5456254;4122;Arnreit;AT;Österreich;Zelt-Festbetreiber;kontaktiert 2026-07-01;Großes Wald-/Zeltfest OÖ, 4 Tage
2026-07-01;https://mv-naarn.ooe-bv.at/zeltfest-/-bmf-2026;Musikverein Naarn im Machland;Georg Hölzl;hoelzlgeorg@gmx.at;+43-699-14412225;4331;Naarn im Machland;AT;Österreich;Zelt-Festbetreiber;kontaktiert 2026-07-01;Zeltfest + Bezirksmusikfest 2026
2026-07-01;https://www.mgkrauchthal.ch/impressum;Musikgesellschaft Krauchthal;Hans-Ulrich Schöni;hansueli.schoeni@mgkrauchthal.clubdesk.com;;3326;Krauchthal;CH;Schweiz;Vereinsfest;kontaktiert 2026-07-01;Blasmusikverein Bern (CH)
2026-07-01;https://www.blaskapelle-gemmingen.de/impressum/;Blaskapelle Gemmingen e.V.;;info@blaskapelle-gemmingen.de;;75050;Gemmingen;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-01;Blasmusikverein, Sommer-/Parkfeste
2026-07-01;https://www.stadtkapelle.de/impressum-disclaimer;Stadtkapelle Schwäbisch Gmünd e.V.;Dr. Werner Besenfelder;vorstand@stadtkapelle.de;07171-998100;73529;Schwäbisch Gmünd;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-01;Stadtfeste/Serenaden
2026-07-01;https://www.blasmusik-sondelfingen.de/;Blasmusik TSV Sondelfingen e.V.;Timo Glock;sondelfinger.blasmusik@web.de;07121-6970461;72766;Reutlingen;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-01;Blasmusikverein, Vereinsfeste
2026-07-01;https://shop.lauffener-wein.de/impressum;Lauffener Weingärtner eG;;service@lauffener-wein.de;07133-185-0;74348;Lauffen am Neckar;DE;Baden-Württemberg;Zelt-Festbetreiber;kontaktiert 2026-07-01;Winzergenossenschaft, Lauffener Weintage
2026-07-01;https://fvplochingen.de/impressum;FV 1911 Plochingen e.V.;Uwe Öhrlich;uweoehrlich@aol.com;0152-54252586;73207;Plochingen;DE;Baden-Württemberg;Vereinsfest;kontaktiert 2026-07-01;Sportverein, Sportfeste/Jubiläen
2026-07-01;https://wuems.de/impressum;Stadtmarketing Würzburg macht Spaß e.V.;Jenny Weissgerber;info@wuems.de;0931-3536754;97070;Würzburg;DE;Bayern;Stadtfest-Kommune;kontaktiert 2026-07-01;Veranstalter Stadtfest Würzburg
2026-07-01;https://www.stiftl-festzelt.de/festzeltbetrieb/;Stiftl KG (Festzeltbetrieb);;stiftl@stiftl.de;089-35096660;80331;München;DE;Bayern;Zelt-Festbetreiber;kontaktiert 2026-07-01;Reisender Festwirt/Festzeltbetreiber Süddtld
2026-07-01;https://www.festzelt-gruber.de/;Festzeltbetrieb Gruber GmbH & Co. KG;Christian Gruber;info@festzelt-gruber.de;0160-94750729;91792;Ellingen;DE;Bayern;Zelt-Festbetreiber;kontaktiert 2026-07-01;Festzeltbetreiber, Kirchweihen/Volksfeste
2026-07-01;https://www.ffneudorf.de/;Freiwillige Feuerwehr Neudorf;Josef Scheichenzuber;info@ffneudorf.de;0160-97052702;94481;Grafenau;DE;Bayern;Vereinsfest;kontaktiert 2026-07-01;Feuerwehrverein, Feste
2026-07-01;https://www.original-reichenbacher.de/der-verein/kontakt/;Original Reichenbacher Blasmusik e.V.;;d.gruedl@original-reichenbacher.de;09268-6785;96358;Teuschnitz;DE;Bayern;Vereinsfest;kontaktiert 2026-07-01;Blasmusikverein Oberfranken
