Datum;Quelle;Firma;Ansprechpartner;Email;Telefon;PLZ;Ort;Land;Region;Event_Typ;Status;Notiz
2026-07-04;https://schuhmann-festzelte.de/impressum;B. Schuhmann Festzeltbetriebe GmbH;Nadine Schuhmann;info@schuhmann-festzelte.de;0175 5279878;95359;Kasendorf;DE;Bayern;Zelt-Festbetreiber;neu;"Reisender Festwirt (D-A-Volksfest Grafenwöhr, Wiesenfest Kemnath); Partybands/DJs im Programm"
2026-07-04;https://www.franz-widmann.de/impressum/;Festzeltbetrieb Franz Widmann GmbH;Franz Widmann;info@franz-widmann.de;0871 61099;84034;Landshut;DE;Bayern;Zelt-Festbetreiber;neu;"Reisender Festwirt (Aschaffenburger Volksfest); Partyprogramm (Musikuss, Red Hot)"
2026-07-04;https://altstadtfest.rudolstadt.de/kontakt;Stadtverwaltung Rudolstadt (Altstadtfest);Frank Grünert;altstadtfest@rudolstadt.de;03672 486413;07407;Rudolstadt;DE;Thüringen;Stadtfest-Kommune;neu;"Rudolstädter Altstadtfest (32.); Partyband + After-Show-Party"
2026-07-04;https://www.heilbronn.de/tourismus/infos/heilbronn-marketing-gmbh.html;Heilbronn Marketing GmbH (Weindorf);;info@heilbronn-marketing.de;07131 562265;74072;Heilbronn;DE;Baden-Württemberg;Zelt-Festbetreiber;neu;"Heilbronner Weindorf (10 Tage); tägl. Live-Musik am Abend (eher Live/Cover)"
2026-07-04;https://www.volksfest-taufkirchen.de/impressum/;Gemeinde Taufkirchen (Vils) – Volksfest;Hildegard Holzinger;holzinger@taufkirchen.de;08084 3727;84416;Taufkirchen (Vils);DE;Bayern;Zelt-Festbetreiber;neu;"Volksfest Taufkirchen; Partybands im Festzelt (Ois Easy, Partyalarm)"
2026-07-04;https://www.buergerschuetzen-ahlen.de/schuetzenfest-2026/;Bürgerschützenverein Ahlen e.V.;Carsten Heitfeld;presse@buergerschuetzen-ahlen.de;;59227;Ahlen;DE;Nordrhein-Westfalen;Vereinsfest;neu;"Großes Schützenfest (seit 1688); Königsball im Festzelt mit 'Merilyn – die Partyband'"
2026-07-04;https://www.bruderschaft-kaarst.de/impressum;St. Sebastianus Schützenbruderschaft Kaarst 1450 e.V.;Claus Schiffer;praesident@bruderschaft-kaarst.de;;41564;Kaarst;DE;Nordrhein-Westfalen;Vereinsfest;neu;"Großes Stadtschützenfest; Schützenzelt + Krönungsball"
2026-07-04;https://www.kirmesgesellschaft-hachenburg.de/programm/;Kirmesgesellschaft Hachenburg e.V.;Sascha Jahn;info@kirmesgesellschaft-hachenburg.de;0151 50408759;57627;Hachenburg;DE;Rheinland-Pfalz/Hessen;Vereinsfest;neu;"Hachenburger Kirmes; Festzelt-Party 'Dohlemer Boube' + 'VIER GEWINNT'"
2026-07-04;https://www.noerdlingen.de/;Große Kreisstadt Nördlingen;David Wittner;stadtverwaltung@noerdlingen.de;09081 840;86720;Nördlingen;DE;Bayern;Stadtfest-Kommune;neu;Nördlinger Mess (Zelt Schöniger) – via OHLALA
2026-07-04;https://michaelismesse.de/impressum/;Michaelismesse Miltenberg;Bernd Kahlert;info@michaelismesse.de;09371 4040;63897;Miltenberg;DE;Bayern;Stadtfest-Kommune;neu;Michaelismesse (Zelt Widmann) – via OHLALA
