Datum;Quelle;Firma;Ansprechpartner;Email;Telefon;PLZ;Ort;Land;Region;Event_Typ;Status;Notiz
2026-07-04;https://grandauer-volksfest.de/impressum;Kainz'n Hof / Grandauer Volksfest Grafing;Anton & Christian Kainz;info@metzgerei-kainz.de;08092 84075;85567;Grafing bei München;DE;Bayern;Zelt-Festbetreiber;neu;"Festwirt Grandauer Volksfest; Showband 7 PROMILLE + Stimmungsbands"
2026-07-04;https://www.bergstadtfest.de/misc/impressum;Stadt Freiberg – Kultur-/Stadtmarketing (Bergstadtfest);;marketing@freiberg.de;03731 273651;09599;Freiberg;DE;Sachsen;Stadtfest-Kommune;neu;"Bergstadtfest (39. Auflage); Hauptbühne Live-Acts + Party-Area Fr/Sa bis 2 Uhr"
2026-07-04;https://www.backfischfest.de/backfischfest/impressum/;Kultur und Veranstaltungs GmbH Worms (Backfischfest);Markus Reis;info@kvg-worms.de;06241 20000;67549;Worms;DE;Rheinland-Pfalz/Hessen;Zelt-Festbetreiber;neu;"Wormser Backfischfest; eines der größten Wein-/Volksfeste am Rhein, Festzelt-Party"
2026-07-04;https://altstadtfest-erlangen.de/impressum/;Altstadtfest Erlangen (Uli Krug);Uli Krug;info@altstadtfest-erlangen.de;;91054;Erlangen;DE;Bayern;Stadtfest-Kommune;neu;"Altstadtfest Erlangen; Partyband d'groove Sa + Live-Bands tägl."
2026-07-04;https://www.neumarkt-altstadtfest.de/impressum.html;Stadt Neumarkt i.d.OPf. (Altstadtfest);;info@neumarkt.de;09181 2550;92318;Neumarkt i.d.OPf.;DE;Bayern;Stadtfest-Kommune;neu;"Neumarkter Altstadtfest; 5 Bühnen, ~65 Coverbands, abends bis 1 Uhr"
2026-07-04;https://www.jsv-alpen1680.de/pfingsten-2026/;Junggesellen Schützenverein Alpen 1680 e.V.;Florian Lenzen;1680@jsv1680.de;0173 2528595;46519;Alpen;DE;Nordrhein-Westfalen;Vereinsfest;neu;"9-Tage-Schützenfest; Partybands Upload + Concorde + Zeltbeats-DJ"
2026-07-04;https://www.kirmesverein-haeselrieth.de/;Kirmesverein Häselrieth e.V.;Eric Blechschmidt;kontakt@kirmesverein-haeselrieth.de;0160 97034421;98646;Hildburghausen;DE;Thüringen;Vereinsfest;neu;"Häselriether Zeltkirmes (15+ J.); Festzelt mit Kirmestanz/Tanzabend"
2026-07-04;https://www.schuetzenverein-epe.de/;Schützenverein Epe von 1910 e.V.;Christian Seling;info@schuetzenverein-epe.de;;49565;Bramsche;DE;Niedersachsen;Vereinsfest;neu;"Schützenfest; Festball im Festzelt mit Partyband 'ON THE ROX'"
2026-07-04;https://www.abensberg.de/impressum;Stadt Abensberg;Dr. Bernhard Resch;stadt@abensberg.de;09443 91030;93326;Abensberg;DE;Bayern;Stadtfest-Kommune;neu;Volksfest Gillamoos (Zelt Schöniger) – via OHLALA
2026-07-04;https://www.gewerbemessemanching.de/kontakt/;GewerbeMesse Manching GmbH;;info@gewerbemessemanching.de;08459 323927;85077;Manching-Oberstimm;DE;Bayern;Firmenevent;neu;Barthelmarkt Oberstimm (Zelt Widmann) – via OHLALA
2026-07-04;https://www.dult-landshut.de/kontakt/;Stadt Landshut – Marktwesen (Dult);;marktwesen@landshut.de;0871 881318;84034;Landshut;DE;Bayern;Stadtfest-Kommune;neu;Landshuter Dult (Zelt Widmann) – via OHLALA
2026-07-04;https://www.volksfest-taufkirchen.de/festwirte/;Müllers Event GmbH (Volksfest Taufkirchen);Müller;tischreservierung@muellers-events.de;;84416;Taufkirchen (Vils);DE;Bayern;Zelt-Festbetreiber;neu;Volksfest Taufkirchen Festhalle – via Ois Easy/Partyalarm
2026-07-04;https://www.festbetriebe-boeckl.de/impressum;Festbetriebe Böckl GbR;Gerhard Böckl;info@festbetriebe-boeckl.de;09435 8718;92521;Schwarzenfeld;DE;Bayern;Zelt-Festbetreiber;neu;Festwirt Hofer Volksfest – via ON THE ROX
2026-07-04;https://www.festzelt-kroenner.de/impressum;Kroenner Volksfest GbR;Josef Kroenner;festzelt@kroenner.de;09421 10994;94315;Straubing;DE;Bayern;Zelt-Festbetreiber;neu;Gäubodenfest Straubing – via Draufgänger
2026-07-04;https://www.unterfoehring.de/impressum.html;Gemeinde Unterföhring (Bürgerfest);;info@unterfoehring.de;089 95081263;85774;Unterföhring;DE;Bayern;Stadtfest-Kommune;neu;40. Bürgerfest Unterföhring – via Cagey Strings
2026-07-04;https://raunemerkerwegemeinschaft.de/kontakt/;Raunemer Kerwe Gemeinschaft e.V.;Alessandra Körner;info@raunemerkerwegemeinschaft.de;;65479;Raunheim;DE;Rheinland-Pfalz/Hessen;Vereinsfest;neu;Raunemer Zeltkerb – via Partyfürsten
2026-07-04;https://www.crailsheim.de/impressum;Stadtverwaltung Crailsheim;;info@crailsheim.de;07951 4030;74564;Crailsheim;DE;Baden-Württemberg;Stadtfest-Kommune;neu;Fränk. Volksfest Crailsheim – via Reisinger
2026-07-04;https://www.burglengenfeld.de/impressum;Stadt Burglengenfeld;Martin Antretter;stadt@burglengenfeld.de;09471 70180;93133;Burglengenfeld;DE;Bayern;Stadtfest-Kommune;neu;Maidult – via Böckl
2026-07-04;https://www.schwarzenbach-saale.de/impressum;Stadt Schwarzenbach a.d.Saale;Michael Haas;info@schwarzenbach-saale.de;09284 9330;95126;Schwarzenbach a.d.Saale;DE;Bayern;Stadtfest-Kommune;neu;Wiesenfest – via Schuhmann
2026-07-04;https://www.kemnath.de/impressum;Stadt Kemnath;Roman Schaeffler;poststelle@kemnath.de;09642 7070;95478;Kemnath;DE;Bayern;Stadtfest-Kommune;neu;73. Kemnather Wiesenfest – via Schuhmann
2026-07-04;https://schuetzenfest-hannover.de/allgemein/impressum/;Hannoversches Schützenfest e.V.;Paul-Eric Stolle;info@schuetzenfest-hannover.de;0511 1319697;30169;Hannover;DE;Niedersachsen;Zelt-Festbetreiber;neu;Schützenfest Hannover (weltgrößtes), Partyabende
2026-07-04;https://www.kulmbacher-bierwoche.de/impressum/;Kulmbacher Brauerei AG (Bierwoche);Katja Herrmann;info@kulmbacher.de;09221 7050;95326;Kulmbach;DE;Bayern;Zelt-Festbetreiber;neu;Kulmbacher Bierwoche, Partybands im Stadl
2026-07-04;https://ulmer-volksfest.de/impressum/;VMV GmbH (Ulmer Volksfest);Michael Steinmüller;info@vmvgmbh.de;0731 94023626;89233;Neu-Ulm;DE;Baden-Württemberg;Zelt-Festbetreiber;neu;Ulmer Volksfest, Abend-Partys
2026-07-04;https://www.fuerstenfeldbruck.de/;Stadt Fürstenfeldbruck;;info@fuerstenfeldbruck.de;08141 2810;82256;Fürstenfeldbruck;DE;Bayern;Stadtfest-Kommune;neu;175. Brucker Volksfest, Partyband-Abende
