Datum;Quelle;Firma;Ansprechpartner;Email;Telefon;PLZ;Ort;Land;Region;Event_Typ;Status;Notiz
2026-07-05;http://holzschwanger-dorffest.de/impressum;Dorffest Holzschwang GbR;;orga@holzschwanger-dorffest.de;;89233;Neu-Ulm-Holzschwang;DE;Bayern;Vereinsfest;neu;Holzschwanger Dorffest – via Partyfürsten
2026-07-05;https://www.annafest.bayern/kontakt;Tourist-Information Forchheim (Annafest);;tourist@forchheim.de;09191 714338;91301;Forchheim;DE;Bayern;Stadtfest-Kommune;neu;Annafest Forchheim – via Würzbuam
2026-07-05;https://www.kinderzeche.de/impressum;Kinderzeche Dinkelsbühl;Maximilian Mattausch;info@kinderzeche.de;09851 589520;91550;Dinkelsbühl;DE;Bayern;Vereinsfest;neu;Kinderzeche – via Würzbuam
2026-07-05;https://www.volkach.de/;Stadt Volkach (Fränk. Weinfest);;tourismus@volkach.de;09381 40112;97332;Volkach;DE;Bayern;Stadtfest-Kommune;neu;76. Fränk. Weinfest Volkach – via Würzbuam
2026-07-05;https://partynacht-tracht.de/impressum;Musikverein Kusterdingen e.V.;Joachim Zühlke;vorstand@mv-kusterdingen.de;07071 369799;72127;Kusterdingen;DE;Baden-Württemberg;Vereinsfest;neu;Partynacht in Tracht – via Allgäu Power
2026-07-05;https://www.skylinepark.de/oktober-festival/;Allgäu Skyline Park GmbH;;service@skylinepark.de;;86871;Rammingen;DE;Bayern;Zelt-Festbetreiber;neu;Oktober Festival – via Allgäu Power
2026-07-05;https://www.kueffner-hof.de/impressum;Küffner Hof Hotel & Restaurant;Timo Schweikhardt;info@kueffner-hof.de;07946 91600;74243;Langenbrettach;DE;Baden-Württemberg;Firmenevent;neu;Partyabende mit Livebands – via Allgäu Power
2026-07-05;https://weisingen.feuerwehren.bayern/;Freiwillige Feuerwehr Weisingen;;weisingen.feuerwehr@gmail.com;09075 5923831;89438;Holzheim-Weisingen;DE;Bayern;Vereinsfest;neu;150 J. Gründungsfest – via Allgäu Power
2026-07-05;https://www.walldorf.de/impressum;Stadt Walldorf;;stadt@walldorf.de;06227 350;69190;Walldorf;DE;Baden-Württemberg;Stadtfest-Kommune;neu;125 J. Stadtrechte Festwochenende – via Barbed Wire
2026-07-05;https://www.tavernenfest.de/impressum.htm;TSV Preying (Tavernenfest);;info@tsv-preying.de;;94163;Saldenburg;DE;Bayern;Vereinsfest;neu;Tavernenfest – via Glorreiche Halunken
2026-07-05;https://pullach-feiert.de/;Festgemeinschaft Pullach feiert;Lennart Hoffmann;info@pullach-feiert.de;0176 32794057;82049;Pullach im Isartal;DE;Bayern;Vereinsfest;neu;Pullach feiert! – via Nachtstark
2026-07-05;https://www.olching.de/servicelinks/impressum;Stadt Olching;;info@olching.de;08142 2002000;82140;Olching;DE;Bayern;Stadtfest-Kommune;neu;Olchinger Volksfest – via Nachtstark
