Datum;Quelle;Firma;Ansprechpartner;Email;Telefon;PLZ;Ort;Land;Region;Event_Typ;Status;Notiz
2026-07-05;https://kerwe-neureut.de/;Kerwe Neureut;;info@kerwe-neureut.de;;76149;Karlsruhe-Neureut;DE;Baden-Württemberg;Vereinsfest;neu;Neureuter Kerwe – via Partyfürsten
2026-07-05;https://heimatfest-laupheim.de/impressum/;Kinder- und Heimatfest Laupheim e.V.;Ralf Aubele;info@heimatfest-laupheim.de;07392 9392337;88471;Laupheim;DE;Baden-Württemberg;Vereinsfest;neu;Heimatfest Laupheim – via Members
2026-07-05;https://www.stadt-marktheidenfeld.de/;Stadt Marktheidenfeld (Laurenzi-Messe);Inge Albert;inge.albert@marktheidenfeld.de;09391 500466;97828;Marktheidenfeld;DE;Bayern;Stadtfest-Kommune;neu;76. Laurenzi-Messe – via Würzbuam
2026-07-05;https://www.tv-winnweiler.de/impressum/;Turnverein Winnweiler 1876 e.V.;Monika Hellriegel;info@tv-winnweiler.de;06302 6090959;67722;Winnweiler;DE;Rheinland-Pfalz/Hessen;Vereinsfest;neu;Heckenfest Winnweiler – via Members
2026-07-05;https://www.binswanger-zelt.de/impressum.html;Alois Binswanger KG (Binswanger Festzelt);Thomas Kempter;info@binswanger-zelt.de;0821 2982980;86368;Gersthofen;DE;Bayern;Zelt-Festbetreiber;neu;Festzelt Augsburger Plärrer – via Allgäu Power
2026-07-05;https://lj-kohlwald.de/impressum;Landjugend Kohlwald e.V.;Dennis Kaiser;dennis.kaiser@lj-kohlwald.de;0152 55459846;74429;Sulzbach-Laufen;DE;Baden-Württemberg;Vereinsfest;neu;Kohlwald Festival – via Mountain Crew
2026-07-05;https://www.tanzlokalkeller.de/;Tanzlokal & Gasthaus Keller Seifertshofen;Familie Keller;h_keller@t-online.de;08282 3425;86491;Aichen;DE;Bayern;Firmenevent;neu;Party-/Tanzabende Livebands – via Allgäu Power
2026-07-05;https://holzhausen-huenstein.de/;775 Jahre Holzhausen a.H. (Festverein);;info@holzhausen-huenstein.de;;35232;Dautphetal-Holzhausen;DE;Rheinland-Pfalz/Hessen;Vereinsfest;neu;775-Jahr-Fest – via Allgäu Power
2026-07-05;https://fest-obererleinsbach.at/impressum/;Freiwillige Feuerwehr Obererleinsbach;;04313@gr.ooelfv.at;;4722;Steegen;AT;Österreich;Vereinsfest;neu;Feuerwehrfest – via Barbed Wire
2026-07-05;https://www.duelkener-buergerhaus.de/Impressum/;Bürgerhaus Dülken;Torsten Grüters;info@duelkener-buergerhaus.de;02162 4446;41751;Viersen;DE;Nordrhein-Westfalen;Firmenevent;neu;Konzert/Location – via Vollgas Orchester
2026-07-05;https://www.vaterstetten.de/weiteres/impressum/;Gemeinde Vaterstetten;Maria Wirnitzer;gemeinde@vaterstetten.de;08106 3830;85591;Vaterstetten;DE;Bayern;Stadtfest-Kommune;neu;Volksfest Vaterstetten – via Nachtstark
2026-07-05;https://www.plattling.de/meta/impressum/;Stadt Plattling;Hans Schmalhofer;poststelle@plattling.bayern.de;09931 7080;94447;Plattling;DE;Bayern;Stadtfest-Kommune;neu;Plattlinger Volksfest – via Nachtstark
2026-07-05;https://www.eichenau.org/Impressum.n9.html;Gemeinde Eichenau;Peter Münster;gemeinde@eichenau.de;08141 7300;82223;Eichenau;DE;Bayern;Stadtfest-Kommune;neu;Sommer Open-Air Eichenau – via Nachtstark
2026-07-05;https://www.ulrichstein.de/impressum/;Stadt Ulrichstein (Jakobimarkt);Dr. Steffen Scharmann;info@ulrichstein.de;06645 96100;35327;Ulrichstein;DE;Rheinland-Pfalz/Hessen;Zelt-Festbetreiber;neu;675. Jakobimarkt – via Frankenkracher
2026-07-05;https://www.strullendorf.de/;Gemeinde Strullendorf;Wolfgang Desel;info@strullendorf.de;09543 82260;96129;Strullendorf;DE;Bayern;Stadtfest-Kommune;neu;Strullendorfer Kirchweih – via Frankenkracher
2026-07-05;https://www.passauer-dult.de/impressum.html;Stadt Passau (Passauer Dult);Andreas Rother;veranstaltungen@passau.de;0851 396551;94032;Passau;DE;Bayern;Zelt-Festbetreiber;neu;Passauer Maidult – via Partyböcke
2026-07-05;https://www.nesselwang.de/impressum-nesselwang.html;Markt Nesselwang;Pirmin Joas;info@nesselwang.de;08361 91220;87484;Nesselwang;DE;Bayern;Stadtfest-Kommune;neu;39. Marktfest Nesselwang – via Allgäuwild
2026-07-05;https://mkh-fest.de/impressum/;Kreismusikfest Höfendorf (MK Höfendorf e.V.);Herbert Fahrner;gesamtorganisation@mkh-fest.de;07478 930120;72414;Rangendingen-Höfendorf;DE;Baden-Württemberg;Vereinsfest;neu;42. Kreismusikfest – via Dirndlknacker
2026-07-05;https://www.brezelmarkt.de/Impressum.php;Brezelmarkt GbR Altenriet;Thomas Melchinger;info@brezelmarkt.de;;72657;Altenriet;DE;Baden-Württemberg;Zelt-Festbetreiber;neu;54. Brezelmarkt – via Dirndlknacker
2026-07-05;https://www.homburger-wiesn.de/;TOB events (Homburger Wiesn);Thorsten Bruch;info@tob-events.de;06841 9769988;66424;Homburg;DE;Rheinland-Pfalz/Hessen;Zelt-Festbetreiber;neu;Homburger Wiesn – via Krachleder
2026-07-05;https://ortenburger-volksfest.de/impressum;Gewerbeverein Ortenburg e.V.;Moritz Bachmeyer;info@ortenburger-volksfest.de;08542 8986878;94496;Ortenburg;DE;Bayern;Zelt-Festbetreiber;neu;75. Ortenburger Volksfest – via Blaumeisen
2026-07-05;https://www.reichelsheim.de/impressum/;Gemeinde Reichelsheim (Odenwald);Dr. Robert Müller;gemeinde@reichelsheim.de;06164 5080;64385;Reichelsheim;DE;Rheinland-Pfalz/Hessen;Stadtfest-Kommune;neu;Michelsmarkt – via Lost Eden
2026-07-05;https://www.mengen.de/;Stadtverwaltung Mengen;;veranstaltung@mengen.de;07572 607502;88512;Mengen;DE;Baden-Württemberg;Stadtfest-Kommune;neu;Heimattage 750 J. – via Hautnah
2026-07-05;https://siedlerfest-karlsfeld.de/impressum;Siedlergemeinschaft Karlsfeld-Nord e.V.;Manfred Klein;sgkarlsfeldnord@verband-wohneigentum.de;08131 907065;85757;Karlsfeld;DE;Bayern;Vereinsfest;neu;Karlsfelder Siedlerfest – via Nachtstark
2026-07-05;https://www.stadt-messstetten.de/;Stadt Meßstetten (Weinfest Heinstetten);Frank Schroft;stadt@messstetten.de;07431 63490;72469;Meßstetten;DE;Baden-Württemberg;Zelt-Festbetreiber;neu;Weinfest Heinstetten – via Hautnah
