Datum;Quelle;Firma;Ansprechpartner;Email;Telefon;PLZ;Ort;Land;Region;Event_Typ;Status;Notiz
2026-07-05;http://holzschwanger-dorffest.de/impressum;Dorffest Holzschwang GbR;;orga@holzschwanger-dorffest.de;;89233;Neu-Ulm-Holzschwang;DE;Bayern;Vereinsfest;neu;Holzschwanger Dorffest – via Partyfürsten
2026-07-05;https://kerwe-neureut.de/;Kerwe Neureut;;info@kerwe-neureut.de;;76149;Karlsruhe-Neureut;DE;Baden-Württemberg;Vereinsfest;neu;Neureuter Kerwe – via Partyfürsten
2026-07-05;https://www.annafest.bayern/kontakt;Tourist-Information Forchheim (Annafest);;tourist@forchheim.de;09191 714338;91301;Forchheim;DE;Bayern;Stadtfest-Kommune;neu;Annafest Forchheim – via Würzbuam
2026-07-05;https://heimatfest-laupheim.de/impressum/;Kinder- und Heimatfest Laupheim e.V.;Ralf Aubele;info@heimatfest-laupheim.de;07392 9392337;88471;Laupheim;DE;Baden-Württemberg;Vereinsfest;neu;Heimatfest Laupheim – via Members
2026-07-05;https://www.kinderzeche.de/impressum;Kinderzeche Dinkelsbühl;Maximilian Mattausch;info@kinderzeche.de;09851 589520;91550;Dinkelsbühl;DE;Bayern;Vereinsfest;neu;Kinderzeche – via Würzbuam
2026-07-05;https://www.stadt-marktheidenfeld.de/;Stadt Marktheidenfeld (Laurenzi-Messe);Inge Albert;inge.albert@marktheidenfeld.de;09391 500466;97828;Marktheidenfeld;DE;Bayern;Stadtfest-Kommune;neu;76. Laurenzi-Messe – via Würzbuam
2026-07-05;https://www.volkach.de/;Stadt Volkach (Fränk. Weinfest);;tourismus@volkach.de;09381 40112;97332;Volkach;DE;Bayern;Stadtfest-Kommune;neu;76. Fränk. Weinfest Volkach – via Würzbuam
2026-07-05;https://www.tv-winnweiler.de/impressum/;Turnverein Winnweiler 1876 e.V.;Monika Hellriegel;info@tv-winnweiler.de;06302 6090959;67722;Winnweiler;DE;Rheinland-Pfalz/Hessen;Vereinsfest;neu;Heckenfest Winnweiler – via Members
2026-07-05;https://partynacht-tracht.de/impressum;Musikverein Kusterdingen e.V.;Joachim Zühlke;vorstand@mv-kusterdingen.de;07071 369799;72127;Kusterdingen;DE;Baden-Württemberg;Vereinsfest;neu;Partynacht in Tracht – via Allgäu Power
2026-07-05;https://www.binswanger-zelt.de/impressum.html;Alois Binswanger KG (Binswanger Festzelt);Thomas Kempter;info@binswanger-zelt.de;0821 2982980;86368;Gersthofen;DE;Bayern;Zelt-Festbetreiber;neu;Festzelt Augsburger Plärrer – via Allgäu Power
2026-07-05;https://www.skylinepark.de/oktober-festival/;Allgäu Skyline Park GmbH;;service@skylinepark.de;;86871;Rammingen;DE;Bayern;Zelt-Festbetreiber;neu;Oktober Festival – via Allgäu Power
2026-07-05;https://lj-kohlwald.de/impressum;Landjugend Kohlwald e.V.;Dennis Kaiser;dennis.kaiser@lj-kohlwald.de;0152 55459846;74429;Sulzbach-Laufen;DE;Baden-Württemberg;Vereinsfest;neu;Kohlwald Festival – via Mountain Crew
2026-07-05;https://www.kueffner-hof.de/impressum;Küffner Hof Hotel & Restaurant;Timo Schweikhardt;info@kueffner-hof.de;07946 91600;74243;Langenbrettach;DE;Baden-Württemberg;Firmenevent;neu;Partyabende mit Livebands – via Allgäu Power
2026-07-05;https://www.tanzlokalkeller.de/;Tanzlokal & Gasthaus Keller Seifertshofen;Familie Keller;h_keller@t-online.de;08282 3425;86491;Aichen;DE;Bayern;Firmenevent;neu;Party-/Tanzabende Livebands – via Allgäu Power
2026-07-05;https://weisingen.feuerwehren.bayern/;Freiwillige Feuerwehr Weisingen;;weisingen.feuerwehr@gmail.com;09075 5923831;89438;Holzheim-Weisingen;DE;Bayern;Vereinsfest;neu;150 J. Gründungsfest – via Allgäu Power
2026-07-05;https://holzhausen-huenstein.de/;775 Jahre Holzhausen a.H. (Festverein);;info@holzhausen-huenstein.de;;35232;Dautphetal-Holzhausen;DE;Rheinland-Pfalz/Hessen;Vereinsfest;neu;775-Jahr-Fest – via Allgäu Power
2026-07-05;https://www.walldorf.de/impressum;Stadt Walldorf;;stadt@walldorf.de;06227 350;69190;Walldorf;DE;Baden-Württemberg;Stadtfest-Kommune;neu;125 J. Stadtrechte Festwochenende – via Barbed Wire
2026-07-05;https://fest-obererleinsbach.at/impressum/;Freiwillige Feuerwehr Obererleinsbach;;04313@gr.ooelfv.at;;4722;Steegen;AT;Österreich;Vereinsfest;neu;Feuerwehrfest – via Barbed Wire
2026-07-05;https://www.tavernenfest.de/impressum.htm;TSV Preying (Tavernenfest);;info@tsv-preying.de;;94163;Saldenburg;DE;Bayern;Vereinsfest;neu;Tavernenfest – via Glorreiche Halunken
2026-07-05;https://www.duelkener-buergerhaus.de/Impressum/;Bürgerhaus Dülken;Torsten Grüters;info@duelkener-buergerhaus.de;02162 4446;41751;Viersen;DE;Nordrhein-Westfalen;Firmenevent;neu;Konzert/Location – via Vollgas Orchester
2026-07-05;https://pullach-feiert.de/;Festgemeinschaft Pullach feiert;Lennart Hoffmann;info@pullach-feiert.de;0176 32794057;82049;Pullach im Isartal;DE;Bayern;Vereinsfest;neu;Pullach feiert! – via Nachtstark
2026-07-05;https://www.vaterstetten.de/weiteres/impressum/;Gemeinde Vaterstetten;Maria Wirnitzer;gemeinde@vaterstetten.de;08106 3830;85591;Vaterstetten;DE;Bayern;Stadtfest-Kommune;neu;Volksfest Vaterstetten – via Nachtstark
2026-07-05;https://www.olching.de/servicelinks/impressum;Stadt Olching;;info@olching.de;08142 2002000;82140;Olching;DE;Bayern;Stadtfest-Kommune;neu;Olchinger Volksfest – via Nachtstark
2026-07-05;https://www.plattling.de/meta/impressum/;Stadt Plattling;Hans Schmalhofer;poststelle@plattling.bayern.de;09931 7080;94447;Plattling;DE;Bayern;Stadtfest-Kommune;neu;Plattlinger Volksfest – via Nachtstark
2026-07-05;https://www.gruenwalderburschen.com/impressum;Burschenverein Einigkeit Grünwald;Lukas Kaserer;vorstand@gruenwalderburschen.com;;82031;Grünwald;DE;Bayern;Vereinsfest;neu;Grünwalder Dorffest – via Nachtstark
2026-07-05;https://www.eichenau.org/Impressum.n9.html;Gemeinde Eichenau;Peter Münster;gemeinde@eichenau.de;08141 7300;82223;Eichenau;DE;Bayern;Stadtfest-Kommune;neu;Sommer Open-Air Eichenau – via Nachtstark
2026-07-05;https://volksfest-schweinfurt.de/impressum/;Werbegemeinschaft Schweinfurter Volksfest e.V.;Peter Hoffmann;volksfest@schweinfurt.de;09721 513477;97421;Schweinfurt;DE;Bayern;Zelt-Festbetreiber;neu;Schweinfurter Volksfest – via Frankenkracher
2026-07-05;https://www.ulrichstein.de/impressum/;Stadt Ulrichstein (Jakobimarkt);Dr. Steffen Scharmann;info@ulrichstein.de;06645 96100;35327;Ulrichstein;DE;Rheinland-Pfalz/Hessen;Zelt-Festbetreiber;neu;675. Jakobimarkt – via Frankenkracher
2026-07-05;https://www.miehlen.de/Impressum/;Ortsgemeinde Miehlen;André Stötzer;info@miehlen.de;06772 1654;56357;Miehlen;DE;Rheinland-Pfalz/Hessen;Stadtfest-Kommune;neu;Oktobermarkt – via Frankenkracher
2026-07-05;https://www.strullendorf.de/;Gemeinde Strullendorf;Wolfgang Desel;info@strullendorf.de;09543 82260;96129;Strullendorf;DE;Bayern;Stadtfest-Kommune;neu;Strullendorfer Kirchweih – via Frankenkracher
2026-07-05;https://www.taenzelfest.de/impressum;Tänzelfestverein e.V. Kaufbeuren;Irmgard Ernszt;info@taenzelfest.de;08341 2828;87600;Kaufbeuren;DE;Bayern;Vereinsfest;neu;Tänzelfest – via Partyböcke
2026-07-05;https://www.passauer-dult.de/impressum.html;Stadt Passau (Passauer Dult);Andreas Rother;veranstaltungen@passau.de;0851 396551;94032;Passau;DE;Bayern;Zelt-Festbetreiber;neu;Passauer Maidult – via Partyböcke
2026-07-05;https://blaukittel.de/impressum;Schützengesellschaft Meinerzhagen e.V.;Karsten Decker;info@blaukittel.de;02354 13663;58540;Meinerzhagen;DE;Nordrhein-Westfalen;Vereinsfest;neu;Schützenfest – via Partyböcke
2026-07-05;https://www.nesselwang.de/impressum-nesselwang.html;Markt Nesselwang;Pirmin Joas;info@nesselwang.de;08361 91220;87484;Nesselwang;DE;Bayern;Stadtfest-Kommune;neu;39. Marktfest Nesselwang – via Allgäuwild
2026-07-05;https://schwabmuenchen.de/impressum/;Stadt Schwabmünchen;Lorenz Müller;rathaus@schwabmuenchen.de;08232 96330;86830;Schwabmünchen;DE;Bayern;Stadtfest-Kommune;neu;Faschingsparty Festzelt – via Partyböcke
2026-07-05;https://mkh-fest.de/impressum/;Kreismusikfest Höfendorf (MK Höfendorf e.V.);Herbert Fahrner;gesamtorganisation@mkh-fest.de;07478 930120;72414;Rangendingen-Höfendorf;DE;Baden-Württemberg;Vereinsfest;neu;42. Kreismusikfest – via Dirndlknacker
2026-07-05;http://mv-hirrlingen.de/impressum/;Musikverein Hirrlingen e.V.;;info@mv-hirrlingen.de;07478 261143;72145;Hirrlingen;DE;Baden-Württemberg;Vereinsfest;neu;Sommerfest/Kirbe – via Dirndlknacker
2026-07-05;https://www.brezelmarkt.de/Impressum.php;Brezelmarkt GbR Altenriet;Thomas Melchinger;info@brezelmarkt.de;;72657;Altenriet;DE;Baden-Württemberg;Zelt-Festbetreiber;neu;54. Brezelmarkt – via Dirndlknacker
2026-07-05;https://www.oktoberfest-wittlich.de/impressum/;Bungert Event GmbH (Oktoberfest Wittlich);Winfried Bungert;info@oktoberfest-wittlich.de;06571 6960;54516;Wittlich;DE;Rheinland-Pfalz/Hessen;Zelt-Festbetreiber;neu;Oktoberfest Wittlich – via Krachleder
2026-07-05;https://www.homburger-wiesn.de/;TOB events (Homburger Wiesn);Thorsten Bruch;info@tob-events.de;06841 9769988;66424;Homburg;DE;Rheinland-Pfalz/Hessen;Zelt-Festbetreiber;neu;Homburger Wiesn – via Krachleder
2026-07-05;https://pfalzwiesen.de/impressum/;GATE99 GmbH (Pfalzwiesen Frankenthal);Kevin Kardol;pfalzwiesen@gate99.de;;67227;Frankenthal;DE;Rheinland-Pfalz/Hessen;Zelt-Festbetreiber;neu;Pfalzwiesen Oktoberfest – via Krachleder
