Datum;Quelle;Firma;Ansprechpartner;Email;Telefon;PLZ;Ort;Land;Region;Event_Typ;Status;Notiz
2026-07-08;https://www.volksfest-eichstaett.de/impressum/;Volksfestausschuss Eichstätt e.V.;Frank Stachel;info@volksfest-eichstaett.de;08421 936087;85072;Eichstätt;DE;Bayern;Vereinsfest;neu;Volksfest Eichstätt – via Fetzentaler
2026-07-08;https://kle-event.de/impressum/;KLE-Event GmbH (Klever Oktoberfest);Christian Nitsch;info@kle-event.de;02821 7182111;47533;Kleve;DE;Nordrhein-Westfalen;Zelt-Festbetreiber;neu;Klever Oktoberfest – via Fetzentaler
2026-07-08;https://www.sternquell-wiesn.de/kontakt/;Sternquell-Brauerei GmbH (Sternquell Wiesn);;info@sternquell-wiesn.de;03741 2110;08529;Plauen;DE;Sachsen;Zelt-Festbetreiber;neu;Sternquell Wiesn Plauen – via Fetzentaler
2026-07-08;https://spieser-wiesn.de/;CFK gGmbH (Spieser Wiesn);;prosit@spieser-wiesn.de;;66583;Spiesen-Elversberg;DE;Saarland;Zelt-Festbetreiber;neu;Spieser Wiesn – via Midnight Ladies
2026-07-08;https://www.kultourz.de/impressum.php;KULTOUR Z. GmbH (Oktoberfest Zwickau);;post@kultour-z.de;0375 2713110;08056;Zwickau;DE;Sachsen;Zelt-Festbetreiber;neu;Sächs.-Bayer. Oktoberfest Zwickau – via Midnight Ladies
2026-07-08;https://waldkirchen.de/kontakt/impressum/;Stadt Waldkirchen;;rathaus@waldkirchen.de;08581 2020;94065;Waldkirchen;DE;Bayern;Stadtfest-Kommune;neu;Ringmauerfest – via Midnight Ladies
2026-07-08;https://www.tsv-beuren.de/IMPRESSUM/;TSV Beuren 1901 e.V.;Marc Claus;epost@tsv-beuren.de;;72639;Neuffen;DE;Baden-Württemberg;Vereinsfest;neu;125 J. Festzelt – via Just For Fun
2026-07-08;https://beelitz.de/impressum/;Stadt Beelitz;Bernhard Knuth;info@beelitz.de;033204 3910;14547;Beelitz;DE;Brandenburg;Stadtfest-Kommune;neu;Beelitzer Spargelfest – via Münchner Zwietracht
2026-07-08;https://www.donauwoerth.de/impressum/;Stadt Donauwörth;Jürgen Sorré;stadt@donauwoerth.de;0906 7890;86609;Donauwörth;DE;Bayern;Zelt-Festbetreiber;neu;Volksfest Donauwörth – via Münchner Zwietracht
2026-07-08;https://www.maibaum-neuried.de/impressum/;Maibaum Neuried e.V.;Matthias Schilcher;vorstand@maibaum-neuried.de;;82061;Neuried;DE;Bayern;Vereinsfest;neu;Maibaumfest – via Münchner Zwietracht
2026-07-08;https://www.mundelsheim.de/impressum;Gemeinde Mundelsheim;;gemeinde@mundelsheim.de;07143 81770;74395;Mundelsheim;DE;Baden-Württemberg;Vereinsfest;neu;SommerFäschd – via Campus
2026-07-08;https://www.musikverein-korntal.de/;Musikverein Korntal e.V.;Helmut Knauerhase;info@musikverein-korntal.de;0711 8380010;70825;Korntal;DE;Baden-Württemberg;Vereinsfest;neu;Höflesfest Korntal – via Campus
2026-07-08;https://www.nordheim.de/impressum;Gemeinde Nordheim (Württ.);Volker Schiek;info@nordheim.de;07133 1820;74226;Nordheim;DE;Baden-Württemberg;Stadtfest-Kommune;neu;Parkfest Nordheim – via Campus
2026-07-08;https://www.kornwestheim.de/impressum;Stadt Kornwestheim;Nico Lauxmann;office@kornwestheim.de;07154 2020;70806;Kornwestheim;DE;Baden-Württemberg;Stadtfest-Kommune;neu;Kornwestheimer Tage – via Safir
2026-07-08;https://www.spiesen-elversberg.de/impressum/;Gemeinde Spiesen-Elversberg;Bernd Huf;poststelle@spiesen-elversberg.de;06821 7910;66583;Spiesen-Elversberg;DE;Saarland;Vereinsfest;neu;Bergfest – via Die Konsorten
