Datum;Quelle;Firma;Ansprechpartner;Email;Telefon;PLZ;Ort;Land;Region;Event_Typ;Status;Notiz
2026-07-16;https://www.gloeckl.net/impressum;Glöckl der regensburger GmbH;Alfred Glöckl;info@gloeckl.net;0941 7994550;93059;Regensburg;DE;Bayern;Zelt-Festbetreiber;neu;Festzelt Regensburger Dult – Straubing→Rotzlöffl
2026-07-16;https://schallerzelt.de/impressum.html;Dieter Held GmbH (Schaller Festzelt);Dieter Held;info@schallerzelt.de;0176 82114542;86399;Bobingen;DE;Bayern;Zelt-Festbetreiber;neu;Festzelt Augsburger Plärrer – Straubing→Rotzlöffl
2026-07-16;https://www.karpfhamerfest.de/;Karpfhamer Fest e.V.;Jürgen Pentlehner;info@karpfhamerfest.de;08532 920700;94086;Bad Griesbach;DE;Bayern;Zelt-Festbetreiber;neu;Karpfhamer Fest + Rottalschau – Straubing→Rotzlöffl
2026-07-16;https://www.reichertshofen.de/impressum-reichertshofen;Markt Reichertshofen;Michael Franken;info@reichertshofen.de;08453 5120;85084;Reichertshofen;DE;Bayern;Stadtfest-Kommune;neu;Paarfest – Straubing→Rotzlöffl
2026-07-16;https://www.landau-isar.de/impressum;Stadt Landau a.d.Isar;Matthias Kohlmayer;stadt.landau@landau-isar.de;09951 9410;94405;Landau a.d.Isar;DE;Bayern;Stadtfest-Kommune;neu;Volksfest Landau – Straubing→Rotzlöffl
2026-07-16;https://lauf.de/impressum;Stadt Lauf a.d.Pegnitz;Thomas Lang;info@lauf.de;09123 1840;91207;Lauf a.d.Pegnitz;DE;Bayern;Stadtfest-Kommune;neu;Volksfest Lauf – Straubing→Rotzlöffl
2026-07-16;https://www.dachau.de/;Große Kreisstadt Dachau;;stadt@dachau.de;08131 750;85221;Dachau;DE;Bayern;Stadtfest-Kommune;neu;Dachauer Volksfest – Straubing→TETRAPACK
2026-07-16;https://www.wasserburg.de/;Stadt Wasserburg a. Inn;Bastian Wernthaler;info@wasserburg.de;08071 1050;83512;Wasserburg am Inn;DE;Bayern;Stadtfest-Kommune;neu;Frühlingsfest – Straubing→TETRAPACK
2026-07-16;https://www.dorfen.de/impressum;Stadt Dorfen;Claudius Siebert;rathaus@dorfen.de;08081 4110;84405;Dorfen;DE;Bayern;Stadtfest-Kommune;neu;Volksfest Dorfen – Straubing→TETRAPACK
2026-07-16;https://www.poing.de/impressum;Gemeinde Poing;Thomas Stark;post@poing.de;08121 97940;85586;Poing;DE;Bayern;Stadtfest-Kommune;neu;Volksfest Poing – Straubing→TETRAPACK
