Datum;Quelle;Firma;Ansprechpartner;Email;Telefon;PLZ;Ort;Land;Region;Event_Typ;Status;Notiz
2026-07-04;https://schuhmann-festzelte.de/impressum;B. Schuhmann Festzeltbetriebe GmbH;Nadine Schuhmann;info@schuhmann-festzelte.de;0175 5279878;95359;Kasendorf;DE;Bayern;Zelt-Festbetreiber;neu;"Reisender Festwirt (D-A-Volksfest Grafenwöhr, Wiesenfest Kemnath); Partybands/DJs im Programm"
2026-07-04;https://grandauer-volksfest.de/impressum;Kainz'n Hof / Grandauer Volksfest Grafing;Anton & Christian Kainz;info@metzgerei-kainz.de;08092 84075;85567;Grafing bei München;DE;Bayern;Zelt-Festbetreiber;neu;"Festwirt Grandauer Volksfest; Showband 7 PROMILLE + Stimmungsbands"
2026-07-04;https://www.franz-widmann.de/impressum/;Festzeltbetrieb Franz Widmann GmbH;Franz Widmann;info@franz-widmann.de;0871 61099;84034;Landshut;DE;Bayern;Zelt-Festbetreiber;neu;"Reisender Festwirt (Aschaffenburger Volksfest); Partyprogramm (Musikuss, Red Hot)"
2026-07-04;https://www.bergstadtfest.de/misc/impressum;Stadt Freiberg – Kultur-/Stadtmarketing (Bergstadtfest);;marketing@freiberg.de;03731 273651;09599;Freiberg;DE;Sachsen;Stadtfest-Kommune;neu;"Bergstadtfest (39. Auflage); Hauptbühne Live-Acts + Party-Area Fr/Sa bis 2 Uhr"
2026-07-04;https://altstadtfest.rudolstadt.de/kontakt;Stadtverwaltung Rudolstadt (Altstadtfest);Frank Grünert;altstadtfest@rudolstadt.de;03672 486413;07407;Rudolstadt;DE;Thüringen;Stadtfest-Kommune;neu;"Rudolstädter Altstadtfest (32.); Partyband + After-Show-Party"
2026-07-04;https://www.backfischfest.de/backfischfest/impressum/;Kultur und Veranstaltungs GmbH Worms (Backfischfest);Markus Reis;info@kvg-worms.de;06241 20000;67549;Worms;DE;Rheinland-Pfalz/Hessen;Zelt-Festbetreiber;neu;"Wormser Backfischfest; eines der größten Wein-/Volksfeste am Rhein, Festzelt-Party"
2026-07-04;https://www.heilbronn.de/tourismus/infos/heilbronn-marketing-gmbh.html;Heilbronn Marketing GmbH (Weindorf);;info@heilbronn-marketing.de;07131 562265;74072;Heilbronn;DE;Baden-Württemberg;Zelt-Festbetreiber;neu;"Heilbronner Weindorf (10 Tage); tägl. Live-Musik am Abend (eher Live/Cover)"
2026-07-04;https://altstadtfest-erlangen.de/impressum/;Altstadtfest Erlangen (Uli Krug);Uli Krug;info@altstadtfest-erlangen.de;;91054;Erlangen;DE;Bayern;Stadtfest-Kommune;neu;"Altstadtfest Erlangen; Partyband d'groove Sa + Live-Bands tägl."
2026-07-04;https://www.volksfest-taufkirchen.de/impressum/;Gemeinde Taufkirchen (Vils) – Volksfest;Hildegard Holzinger;holzinger@taufkirchen.de;08084 3727;84416;Taufkirchen (Vils);DE;Bayern;Zelt-Festbetreiber;neu;"Volksfest Taufkirchen; Partybands im Festzelt (Ois Easy, Partyalarm)"
2026-07-04;https://www.neumarkt-altstadtfest.de/impressum.html;Stadt Neumarkt i.d.OPf. (Altstadtfest);;info@neumarkt.de;09181 2550;92318;Neumarkt i.d.OPf.;DE;Bayern;Stadtfest-Kommune;neu;"Neumarkter Altstadtfest; 5 Bühnen, ~65 Coverbands, abends bis 1 Uhr"
2026-07-04;https://www.buergerschuetzen-ahlen.de/schuetzenfest-2026/;Bürgerschützenverein Ahlen e.V.;Carsten Heitfeld;presse@buergerschuetzen-ahlen.de;;59227;Ahlen;DE;Nordrhein-Westfalen;Vereinsfest;neu;"Großes Schützenfest (seit 1688); Königsball im Festzelt mit 'Merilyn – die Partyband'"
2026-07-04;https://www.jsv-alpen1680.de/pfingsten-2026/;Junggesellen Schützenverein Alpen 1680 e.V.;Florian Lenzen;1680@jsv1680.de;0173 2528595;46519;Alpen;DE;Nordrhein-Westfalen;Vereinsfest;neu;"9-Tage-Schützenfest; Partybands Upload + Concorde + Zeltbeats-DJ"
2026-07-04;https://www.bruderschaft-kaarst.de/impressum;St. Sebastianus Schützenbruderschaft Kaarst 1450 e.V.;Claus Schiffer;praesident@bruderschaft-kaarst.de;;41564;Kaarst;DE;Nordrhein-Westfalen;Vereinsfest;neu;"Großes Stadtschützenfest; Schützenzelt + Krönungsball"
2026-07-04;https://www.kirmesverein-haeselrieth.de/;Kirmesverein Häselrieth e.V.;Eric Blechschmidt;kontakt@kirmesverein-haeselrieth.de;0160 97034421;98646;Hildburghausen;DE;Thüringen;Vereinsfest;neu;"Häselriether Zeltkirmes (15+ J.); Festzelt mit Kirmestanz/Tanzabend"
2026-07-04;https://www.kirmesgesellschaft-hachenburg.de/programm/;Kirmesgesellschaft Hachenburg e.V.;Sascha Jahn;info@kirmesgesellschaft-hachenburg.de;0151 50408759;57627;Hachenburg;DE;Rheinland-Pfalz/Hessen;Vereinsfest;neu;"Hachenburger Kirmes; Festzelt-Party 'Dohlemer Boube' + 'VIER GEWINNT'"
2026-07-04;https://www.schuetzenverein-epe.de/;Schützenverein Epe von 1910 e.V.;Christian Seling;info@schuetzenverein-epe.de;;49565;Bramsche;DE;Niedersachsen;Vereinsfest;neu;"Schützenfest; Festball im Festzelt mit Partyband 'ON THE ROX'"
