Datum;Quelle;Firma;Ansprechpartner;Email;Telefon;PLZ;Ort;Land;Region;Event_Typ;Status;Notiz
2026-07-04;https://www.noerdlingen.de/;Große Kreisstadt Nördlingen;David Wittner;stadtverwaltung@noerdlingen.de;09081 840;86720;Nördlingen;DE;Bayern;Stadtfest-Kommune;neu;Nördlinger Mess (Zelt Schöniger) – via OHLALA
2026-07-04;https://www.abensberg.de/impressum;Stadt Abensberg;Dr. Bernhard Resch;stadt@abensberg.de;09443 91030;93326;Abensberg;DE;Bayern;Stadtfest-Kommune;neu;Volksfest Gillamoos (Zelt Schöniger) – via OHLALA
2026-07-04;https://michaelismesse.de/impressum/;Michaelismesse Miltenberg;Bernd Kahlert;info@michaelismesse.de;09371 4040;63897;Miltenberg;DE;Bayern;Stadtfest-Kommune;neu;Michaelismesse (Zelt Widmann) – via OHLALA
2026-07-04;https://www.gewerbemessemanching.de/kontakt/;GewerbeMesse Manching GmbH;;info@gewerbemessemanching.de;08459 323927;85077;Manching-Oberstimm;DE;Bayern;Firmenevent;neu;Barthelmarkt Oberstimm (Zelt Widmann) – via OHLALA
2026-07-04;https://stadthalle-aschaffenburg.de/impressum.html;Kongress-/Touristikbetriebe Aschaffenburg;;info@kut-ab.de;06021 3956;63739;Aschaffenburg;DE;Bayern;Stadtfest-Kommune;neu;Volksfest Aschaffenburg (Zelt Widmann) – via OHLALA
2026-07-04;https://www.dult-landshut.de/kontakt/;Stadt Landshut – Marktwesen (Dult);;marktwesen@landshut.de;0871 881318;84034;Landshut;DE;Bayern;Stadtfest-Kommune;neu;Landshuter Dult (Zelt Widmann) – via OHLALA
2026-07-04;https://www.geisenfeld.de/kontakt;Stadt Geisenfeld;;rathaus@geisenfeld.de;08452 980;85290;Geisenfeld;DE;Bayern;Stadtfest-Kommune;neu;Geisenfelder Volksfest (Zelt Widmann) – via OHLALA
2026-07-04;https://www.volksfest-taufkirchen.de/festwirte/;Müllers Event GmbH (Volksfest Taufkirchen);Müller;tischreservierung@muellers-events.de;;84416;Taufkirchen (Vils);DE;Bayern;Zelt-Festbetreiber;neu;Volksfest Taufkirchen Festhalle – via Ois Easy/Partyalarm
2026-07-04;https://www.dachauvolksfest.de/impressum.html;Rettinger Familienfestzelt GbR;Ludwig & Sandra Rettinger;info@dachauvolksfest.de;08131 7799299;85221;Dachau;DE;Bayern;Zelt-Festbetreiber;neu;Festzelt Dachauer Volksfest – via Ois Easy
2026-07-04;https://www.festbetriebe-boeckl.de/impressum;Festbetriebe Böckl GbR;Gerhard Böckl;info@festbetriebe-boeckl.de;09435 8718;92521;Schwarzenfeld;DE;Bayern;Zelt-Festbetreiber;neu;Festwirt Hofer Volksfest – via ON THE ROX
2026-07-04;https://www.festzelt-reisinger.de/impressum;Festzelt Reisinger GbR;Hubert Reisinger;info@festzelt-reisinger.de;09421 1897500;94315;Straubing;DE;Bayern;Zelt-Festbetreiber;neu;Gäubodenfest + Crailsheim – via Draufgänger
2026-07-04;https://www.festzelt-kroenner.de/impressum;Kroenner Volksfest GbR;Josef Kroenner;festzelt@kroenner.de;09421 10994;94315;Straubing;DE;Bayern;Zelt-Festbetreiber;neu;Gäubodenfest Straubing – via Draufgänger
2026-07-04;https://www.weissbierfest.com/impressum;Brauerei Gebr. Maisel (Weissbierfest Bayreuth);;brauerei@maisel.com;0921 4010;95445;Bayreuth;DE;Bayern;Zelt-Festbetreiber;neu;Maisel's Weissbierfest Bayreuth – via Troglauer
2026-07-04;https://www.unterfoehring.de/impressum.html;Gemeinde Unterföhring (Bürgerfest);;info@unterfoehring.de;089 95081263;85774;Unterföhring;DE;Bayern;Stadtfest-Kommune;neu;40. Bürgerfest Unterföhring – via Cagey Strings
2026-07-04;https://www.i-will-fasnacht.de/;IG Weißenhorner Fasnacht e.V.;Michael Riedel;vorstand@i-will-fasnacht.de;;89258;Weißenhorn;DE;Bayern;Vereinsfest;neu;IWF-Ball Fuggerhalle – via Partyfürsten
2026-07-04;https://raunemerkerwegemeinschaft.de/kontakt/;Raunemer Kerwe Gemeinschaft e.V.;Alessandra Körner;info@raunemerkerwegemeinschaft.de;;65479;Raunheim;DE;Rheinland-Pfalz/Hessen;Vereinsfest;neu;Raunemer Zeltkerb – via Partyfürsten
