Datum;Beleg;Box;Betrag;Status
2026-07-01;TS Veranstaltungstechnik 26-0148;Rechnungseingang;593,87 €;an DATEV übergeben + bezahlt 01.07.2026
2026-07-01;STRATO DRP154853267;Bank;15,62 €;an DATEV übergeben
2026-07-01;UTA Tankkarte 2026-05;Bank;718,98 €;an DATEV übergeben
2026-07-01;UTA Tankkarte 2026-06;Bank;443,77 €;an DATEV übergeben
2026-07-01;Telekom Mobilfunk 05/2026;Bank;154,65 €;an DATEV übergeben
2026-07-01;Brevo SIB-5380226;Bank;55,00 €;an DATEV übergeben
2026-07-01;Celonis 2026-06;Kreditkarte Master;9,00 USD;an DATEV übergeben
2026-07-01;STRATO DRP154466626;Bank;42,00 €;an DATEV übergeben (Testbeleg regulär nachgereicht)
2026-07-01;Bewirtung Trattoria Paesana 05.03.2026;Kasse;200,00 €;Bewirtungsbeleg TEST — von Dirk in DATEV wieder gelöscht
2026-07-02;RA Poser Rg 2600053;Rechnungseingang;3.310,29 €;an DATEV übergeben (offener Posten, Überweisung durch Dirk)
2026-07-03;Angebotsfreigabe Weinstadt 25.07.2026 (an Tobias Hena, DIE NEUE 107.7);—;—;Mail mit signiertem Angebot gesendet (info@xmedia-event.de → t.hena@dieneue1077.de)
2026-07-04;RE131589 Mediapool Stuttgart GmbH;Rechnungseingang;1.071,00 €;an DATEV übergeben (offener Posten, Überweisung durch Dirk)
2026-07-05;Bewirtung OGGI Tavola Ristorante 04.07.2026 (EC);Bank;100,00 €;an DATEV übergeben (Bewirtungsbeleg music, EC → Box Bank; Zusatzblatt+Scan)
2026-07-05;Marc Lamerz RE-720 2026 (Drum Sounds);event Dropbox XE offene ER;1.123,50 €;in Dropbox abgelegt (offener Posten, Überweisung durch Dirk)
2026-07-05;Salvatore Trippi 2026-005 (VIPS Juni);event Dropbox XE offene ER;900,00 €;bereits in Dropbox vorhanden (04.07.); Duplikat-Ablage vermieden
2026-07-05;KORREKTUR Marc Lamerz RE-720;event Dropbox;1.123,50 €;BEZAHLT (Überweisung Dirk); lag bereits seit 03.07. in 'XE bezahlte Eingangsrechnungen'; meine irrtümlichen Zweitkopien in offene+bezahlte wieder entfernt; aus offene_posten gestrichen
2026-07-08;TS Veranstaltungstechnik RE 26-0155;music DATEV Rechnungseingang;266,55 €;an DATEV weitergeleitet (info@); offener Posten – Zahlung durch Dirk
2026-07-08;UTA Tankkarte 2026-06 (RE+GSB+EPN gemergt);music DATEV Bank;304,68 €;an DATEV weitergeleitet (info@); Lastschrift – bereits abgebucht
2026-07-09;Gulde Records GR 43:26 (Robin Henderson);music DATEV Rechnungseingang;1.070,00 €;an DATEV weitergeleitet (rechnung@ -> info@ Versand); offener Posten - Zahlung durch Dirk; NEUER Absender info@robinhenderson.de in datev_routing gelernt
2026-07-09;Cup Concept Mehrwegsysteme GmbH Rechnung 000003849 (30.06./08.07.2026);event Dropbox XE bezahlte Eingangsrechnungen;413,18 €;in Dropbox abgelegt (bezahlt via PayPal); Rechnungsempfänger faelschlich Alexander Doczi (Fehler Cup Concept) - trotzdem als x-media event GmbH abgelegt; Empfaenger-Ausnahme NICHT gelernt (Dirk 09.07.)
2026-07-09;Jonas Schoof RE62023020 (Sänger Tannenzäpfle);music DATEV Rechnungseingang;577,80 €;an DATEV weitergeleitet (info@); offener Posten - Zahlung durch Dirk (nur PayPal); NEUER Absender booking@jonez-live.de in datev_routing gelernt
2026-07-13;Esselmann Fahrzeugbau RN260710/12519 (Ersatzteile Schwerlaststütze, VIPS-Anhänger);event Dropbox XE bezahlte Eingangsrechnungen;170,15 €;in Dropbox abgelegt (bezahlt per Vorauskasse); Empfänger x-media event GmbH; Bestellbestätigung BN260707-03580 lag bereits im Ordner
2026-07-14;TS Veranstaltungstechnik 26-0157 (PA/Licht Motocross Aichwald);music DATEV Rechnungseingang;4.238,65 €;an DATEV weitergeleitet (info@); offener Posten - Zahlung durch Dirk
2026-07-14;Schober Pictures RE-2026/07319 (Licht Regiment 11.07.);music DATEV Rechnungseingang;462,39 €;an DATEV weitergeleitet (info@); offener Posten; NEUER Absender patrick@schober-pictures.de gelernt
2026-07-14;RSK Reifen-Service Korb 116996 (Kfz S-XM 113);music DATEV Rechnungseingang;104,00 €;an DATEV weitergeleitet (info@); offener Posten; NEUER Absender RSK Korb gelernt
2026-07-16;Jonas Schoof RE62023020 (KORREKTUR, Sänger Wohnzimmerkonzert Ettlingen 02.07.);music DATEV Rechnungseingang;577,80 €;an DATEV weitergeleitet (info@); korrigierte Fassung (RgDat jetzt 02.07. statt 30.06.); Dirk löscht die am 09.07. übergebene Erstfassung in DATEV; offener Posten - Zahlung nur per PayPal
2026-07-16;Jonas Schoof RE62027051 (Sänger Wohnzimmerkonzert Bonndorf 09.07.);music DATEV Rechnungseingang;620,60 €;an DATEV weitergeleitet (info@); offener Posten - Zahlung nur per PayPal
